City,BSSType,Station,InitR,InitE,InitU,CplexStatus,ExactUb,ExactLb,ExactDist,ExactRec,L,ExactDrv,OptCuts,SEC,Time[s],HeurUb
antwerp,SW,829,449,1107,206,11,1219.4,757.828,924.399,295,0,3,2675,3304,14283.46,1077.49
barcelona,SW,531,2626,1652,310,11,741.079,146.815,584.079,157,0,12,3564,5913,14263.3,388.265
boston,SW,553,4748,518,90,11,1472.43,288.61,434.425,1038,0,1,2298,6257,14277.3,601.295
bruxelles,SW,344,1916,1560,302,11,412.444,166.358,384.444,28,0,6,2870,5882,14305.88,200.399
chicago,SW,1842,3766,2324,427,11,1653.81,730.296,992.814,661,0,3,302,1168,14278.53,1129.94
madrid,SW,606,0,5363,1026,11,969.148,294.678,887.148,82,0,15,2830,4729,14305.65,489.818
newyork,SW,2237,21386,13298,2527,11,8313.77,574.83,678.771,7635,0,1,109,1387,14284.66,4532.76
paris,SW,1452,8804,3666,697,11,3360.28,535.434,3056.28,304,0,44,327,1294,14314.64,1409.08
toronto,SW,914,5528,407,69,11,1798.68,388.445,1575.68,223,0,22,1793,2469,14291.04,714.121
mexicocity,CS,678,0,4677,892,11,84.3653,-707.216,607.365,-523,-892,11,3296,5716,14209.36,-279.95
montreal,CS,966,8754,1617,295,11,1888.75,193.043,1900.75,-12,-295,34,2037,2715,14248.87,879.51
quebec,CS,167,0,897,169,11,125.345,-85.2271,216.345,-91,-169,5,13104,14275,14279.58,-16.0311
rio,CS,403,3167,453,78,11,1007.78,100.505,255.776,752,-78,1,3300,7458,14243.07,449.248
washington,CS,803,4492,533,95,11,1503.91,393.904,719.912,784,-95,1,3267,3361,14262.67,816.334
