City,Stations,ChargingSts,HasRealChargingSts?,InitReg,InitEelec,InitU,CN Ub,CN Dist,CN Cost,CN Drv,CN Seconds,RSTK Ub,RSTK Dist,RSTK Cost,RSTK Drv,RSTK Seconds
antwerp, 819 , 171 , -   ,450,993,186,806.028,972.028,-166,11,8759.79,806.028,972.028,-166,11,7367.55
barcelona, 519 , 105 , -   ,2500,1252,237,152.397,237.397,-85,7,12873.91,152.397,237.397,-85,7,12748.16
boston, 543 , 107 , -   ,4062,263,46,370.655,416.655,-46,8,9393.72,370.655,416.655,-46,8,8886.23
bruxelles, 346 , 69 , -   ,1963,1587,304,22.8091,222.809,-200,3,10042.79,22.8091,222.809,-200,3,12242.93
chicago," 1,834 ", 395 , -   ,4388,1896,349,955.804,1160.8,-205,18,15572.29,955.804,1160.8,-205,18,18535.59
madrid, 435 , 89 , -   ,0,5613,996,-500.092,462.908,-963,5,10648.43,-500.092,462.908,-963,5,16237.38
mexicocity, 625 , 571 , 1 ,0,3680,701,-365.154,268.846,-634,3,21739.22,-365.154,268.846,-634,3,30512.77
montreal, 678 , 135 , -   ,9538,1986,366,1675.61,660.608,1015,21,9081.42,1675,660.608,1014.39,21,9930.19
newyork, 958 , 137 , 1 ,20554,6318,1142,2833.59,1218.59,1615,30,17542.65,2827.68,1218.59,1609.09,30,22467.87
paris," 2,235 ", 482 , -   ,11151,4878,927,1247.42,971.419,276,18,14001.34,1247.42,971.419,276,18,16675.25
quebec," 1,473 ", 315 , -   ,0,1167,225,-4.36306,87.6369,-92,1,7897.13,-4.73283,87.2672,-92,1,7639.85
rio, 166 , 106 , 1 ,2654,262,45,275.434,250.434,25,7,10716.64,275.434,250.434,25,7,7960.19
sanfrancisco, 409 , 73 , 1 ,2963,2116,399,275.859,318.859,-43,8,8286.73,245.893,320.893,-75,8,11394.2
toronto, 571 , 111 , -   ,5780,537,91,599.847,482.847,117,17,8692.69,599.429,482.847,116.583,17,9793.18
washington, 885 , 37 , 1 ,4557,453,78,727.987,624.987,103,13,8973.49,727.987,624.987,103,13,9566.96
