City,Heur,MaxDist,Stations,RegBikes,Ebikes,Ubikes,Ub,Dist,Cost,Drv,Time[s],,,,,,,,,,,,,,,,,
antwerp,SEQ,50,829,449,1107,206,1521.51,1521.51,0,32,2413.21,,,UB : SEQ,,,,,,,UB : Summary,50,55,60,65,70,75,AVG
antwerp,SEQ+REG3,50,829,449,1107,206,1522.69,1522.69,0,32,3385.68,,City / Dist,50,55,60,65,70,75,,SEQ,1285.745111,1296.18,1259.677778,1256.028222,1247.266333,1228.218889,1262.186056
antwerp,SEQ+REG2,50,829,449,1107,206,1521.46,1521.46,0,32,2603.55,,antwerp,1521.51,1443.7,1426.07,1257.56,1216.73,1046.15,,SEQ+REG2,1243.372333,1266.153222,1223.708111,1204.586111,1189.311889,1171.463111,1216.432463
antwerp,ALL,50,829,449,1107,206,1518.91,1518.91,0,32,3053.08,,barcelona,378.936,379.089,394.484,406.683,401.442,410.707,,SEQ+REG3,1243.554889,1261.185,1224.626778,1202.212222,1208.749444,1178.574,1219.817056
antwerp,SEQ,55,829,449,1107,206,1443.7,1443.7,0,28,3036.27,,boston,728.349,772.222,759.87,791.415,802.013,815.551,,ALL,1245.171333,1262.257556,1235.793222,1208.983778,1196.888333,1188.388889,1222.913852
antwerp,SEQ+REG3,55,829,449,1107,206,1476.94,1476.94,0,29,3250.93,,bruxelles,205.716,204.818,211.864,216.224,214.063,210.13,,,,,,,,,
antwerp,SEQ+REG2,55,829,449,1107,206,1464.72,1464.72,0,29,3578.51,,chicago,1602.11,1502.97,1210.53,1105.08,1136.31,1080.54,,,TIME[s] : SEQ+REG2,,,,,,
antwerp,ALL,55,829,449,1107,206,1474.88,1474.88,0,29,4513.2,,madrid,488.261,472.816,478.161,507.673,498.583,492.559,,City / Dist,50,55,60,65,70,75,
antwerp,SEQ,60,829,449,1107,206,1426.07,1426.07,0,26,3747.35,,newyork,4298.42,4514.65,4517.34,4567.71,4614.4,4561.11,,antwerp,2603.55,3578.51,4284.01,5498.9,8713.78,11652.13,
antwerp,SEQ+REG3,60,829,449,1107,206,1394.1,1394.1,0,25,4304.95,,paris,1580.21,1564.45,1530.83,1614.07,1538.54,1622.38,,barcelona,13572.08,12739.89,15867.07,13942.12,16519.29,14883.89,
antwerp,SEQ+REG2,60,829,449,1107,206,1441.42,1441.42,0,26,4284.01,,toronto,768.194,810.905,807.951,837.839,803.316,814.843,,boston,8874.65,8914.04,10457.44,9870.78,11280.57,11190.02,
antwerp,ALL,60,829,449,1107,206,1455.19,1455.19,0,27,4442.45,,AVG,1285.745111,1296.18,1259.677778,1256.028222,1247.266333,1228.218889,,bruxelles,6794.45,6991.63,6930.33,6837.8,8009.3,6974.22,
antwerp,SEQ,65,829,449,1107,206,1257.56,1257.56,0,21,4856.44,,,,,,,,,,chicago,5695.23,9320.33,14926.45,17609.74,16789.99,20576.32,
antwerp,SEQ+REG3,65,829,449,1107,206,1258.94,1258.94,0,22,5805.18,,,UB : SEQ+REG2,,,,,,,madrid,13045.72,15488.88,15610.11,14943.81,14779.64,15682.97,
antwerp,SEQ+REG2,65,829,449,1107,206,1276.45,1276.45,0,22,5498.9,,City / Dist,50,55,60,65,70,75,,newyork,11106.84,18740.73,21621.79,24184.56,22633.59,23508.01,
antwerp,ALL,65,829,449,1107,206,1283.71,1283.71,0,22,6329.43,,antwerp,1521.46,1464.72,1441.42,1276.45,1185.72,1077.49,,paris,15993.67,17019.76,16607.81,18935.08,16981.61,17565.8,
antwerp,SEQ,70,829,449,1107,206,1216.73,1216.73,0,20,6977.02,,barcelona,386.749,380.572,374.227,378.637,374.321,388.265,,toronto,11514.16,17433.27,14495.51,14860.05,16625.35,15451.63,
antwerp,SEQ+REG3,70,829,449,1107,206,1181.96,1181.96,0,19,8977.65,,boston,632.531,710.73,612.549,600.2,608.759,601.295,,Average," 9,911.2 "," 12,247.4 "," 13,422.3 "," 14,075.9 "," 14,703.7 "," 15,276.1 ",
antwerp,SEQ+REG2,70,829,449,1107,206,1185.72,1185.72,0,19,8713.78,,bruxelles,203.036,203.167,205.624,206.094,202.865,200.399,,,,,,,,,
antwerp,ALL,70,829,449,1107,206,1193.55,1193.55,0,19,10343.33,,chicago,1599.9,1465.79,1225.64,1142.59,1127.99,1129.94,,,,,,,,,
antwerp,SEQ,75,829,449,1107,206,1046.15,1046.15,0,16,9587.67,,madrid,482.041,485.98,482.871,487.443,479.179,489.818,,,,,,,,,
antwerp,SEQ+REG3,75,829,449,1107,206,1062.77,1062.77,0,16,11469.87,,newyork,4181.09,4540.24,4520.48,4582.28,4544.54,4532.76,,,,,,,,,
antwerp,SEQ+REG2,75,829,449,1107,206,1077.49,1077.49,0,17,11652.13,,paris,1427.89,1421.79,1422.12,1444,1468.04,1409.08,,,,,,,,,
antwerp,ALL,75,829,449,1107,206,1051.49,1051.49,0,16,10712.49,,toronto,755.654,722.39,728.442,723.581,712.393,714.121,,,,,,,,,
barcelona,SEQ,50,531,2626,1652,310,378.936,331.936,47,13,10744.22,,AVG,1243.372333,1266.153222,1223.708111,1204.586111,1189.311889,1171.463111,,,,,,,,,
barcelona,SEQ+REG3,50,531,2626,1652,310,384.666,384.666,0,18,15994.37,,,,,,,,,,,,,,,,,
barcelona,SEQ+REG2,50,531,2626,1652,310,386.749,386.749,0,18,13572.08,,,UB : SEQ+REG3,,,,,,,,,,,,,,
barcelona,ALL,50,531,2626,1652,310,382.136,382.136,0,18,18911.75,,City / Dist,50,55,60,65,70,75,,,,,,,,,
barcelona,SEQ,55,531,2626,1652,310,379.089,338.089,41,13,10826.58,,antwerp,1522.69,1476.94,1394.1,1258.94,1181.96,1062.77,,,,,,,,,
barcelona,SEQ+REG3,55,531,2626,1652,310,382.728,382.728,0,18,17256.92,,barcelona,384.666,382.728,394.674,370.158,391.51,392.441,,,,,,,,,
barcelona,SEQ+REG2,55,531,2626,1652,310,380.572,380.572,0,17,12739.89,,boston,639.175,601.316,611.661,594.396,600.09,609.124,,,,,,,,,
barcelona,ALL,55,531,2626,1652,310,390.999,390.999,0,18,18597.56,,bruxelles,205.274,207.298,203.969,207.825,199.767,207.029,,,,,,,,,
barcelona,SEQ,60,531,2626,1652,310,394.484,319.484,75,12,11993.59,,chicago,1628.37,1521.61,1267.33,1152.6,1145.45,1085.79,,,,,,,,,
barcelona,SEQ+REG3,60,531,2626,1652,310,394.674,394.674,0,18,15202.48,,madrid,489.532,497.176,489.498,485.149,488.123,487.542,,,,,,,,,
barcelona,SEQ+REG2,60,531,2626,1652,310,374.227,374.227,0,17,15867.07,,newyork,4138.15,4515.63,4546.44,4613.44,4717.59,4653.18,,,,,,,,,
barcelona,ALL,60,531,2626,1652,310,388.586,388.586,0,18,17460.93,,paris,1438.12,1421.49,1406.18,1425.77,1434.25,1397.02,,,,,,,,,
barcelona,SEQ,65,531,2626,1652,310,406.683,299.683,107,11,13069.32,,toronto,746.017,726.477,707.789,711.632,720.005,712.27,,,,,,,,,
barcelona,SEQ+REG3,65,531,2626,1652,310,370.158,370.158,0,17,19005.42,,AVG,1243.554889,1261.185,1224.626778,1202.212222,1208.749444,1178.574,,,,,,,,,
barcelona,SEQ+REG2,65,531,2626,1652,310,378.637,378.637,0,18,13942.12,,,,,,,,,,,,,,,,,
barcelona,ALL,65,531,2626,1652,310,379.681,379.681,0,18,19658.09,,,UB : ALL,,,,,,,,,,,,,,
barcelona,SEQ,70,531,2626,1652,310,401.442,324.442,77,12,11871.23,,City / Dist,50,55,60,65,70,75,,,,,,,,,
barcelona,SEQ+REG3,70,531,2626,1652,310,391.51,391.51,0,18,16034.89,,antwerp,1518.91,1474.88,1455.19,1283.71,1193.55,1051.49,,,,,,,,,
barcelona,SEQ+REG2,70,531,2626,1652,310,374.321,374.321,0,17,16519.29,,barcelona,382.136,390.999,388.586,379.681,385.624,377.891,,,,,,,,,
barcelona,ALL,70,531,2626,1652,310,385.624,385.624,0,18,18327.78,,boston,632.865,622.948,595.506,607.699,602.462,601.408,,,,,,,,,
