City,Heur,MaxDist,Stations,RegBikes,Ebikes,Ubikes,Ub,Dist,Cost,Drv,Time[s],,,,,,,,,,,,,,,,,
antwerp,SEQ,50,829,449,1107,206,1521.51,1521.51,0,32,2413.21,,,UB : SEQ,,,,,,,UB : Summary,50,60,70,80,90,100,AVG
antwerp,SEQ+REG2,50,829,449,1107,206,1521.46,1521.46,0,32,2603.55,,City / Dist,50,60,70,80,90,100,,SEQ,1285.745111,1259.677778,1247.266333,1221.950778,1225.008667,1226.573556,1244.37037
antwerp,SEQ+REG3,50,829,449,1107,206,1522.69,1522.69,0,32,3385.68,,antwerp,1521.51,1426.07,1216.73,990.318,896.675,882.723,,SEQ+REG2,1243.372333,1223.708111,1189.311889,1170.121444,1161.939444,1146.197556,1189.108463
antwerp,ALL,50,829,449,1107,206,1518.91,1518.91,0,32,3053.08,,barcelona,378.936,394.484,401.442,399.74,405.497,411.044,,SEQ+REG3,1243.554889,1224.626778,1208.749444,1172.531111,1151.786667,1152.06,1192.218148
antwerp,SEQ,60,829,449,1107,206,1426.07,1426.07,0,26,3747.35,,boston,728.349,759.87,802.013,815.154,772.99,795.48,,ALL,1245.171333,1235.793222,1196.888333,1173.100889,1168.322444,1169.164333,1198.073426
antwerp,SEQ+REG2,60,829,449,1107,206,1441.42,1441.42,0,26,4284.01,,bruxelles,205.716,211.864,214.063,218.338,207.806,223.277,,,,,,,,,
antwerp,SEQ+REG3,60,829,449,1107,206,1394.1,1394.1,0,25,4304.95,,chicago,1602.11,1210.53,1136.31,1066.62,1061.64,1083.94,,,,,,,,,
antwerp,ALL,60,829,449,1107,206,1455.19,1455.19,0,27,4442.45,,madrid,488.261,478.161,498.583,489.332,510.98,527.885,,,,,,,,,
antwerp,SEQ,70,829,449,1107,206,1216.73,1216.73,0,20,6977.02,,newyork,4298.42,4517.34,4614.4,4611.44,4608.9,4647.65,,,,,,,,,
antwerp,SEQ+REG2,70,829,449,1107,206,1185.72,1185.72,0,19,8713.78,,paris,1580.21,1530.83,1538.54,1557.39,1685.76,1604.78,,,,,,,,,
antwerp,SEQ+REG3,70,829,449,1107,206,1181.96,1181.96,0,19,8977.65,,toronto,768.194,807.951,803.316,849.225,874.83,862.383,,,,,,,,,
